modal	service	duration	km_category	route_id	capture_time	city	image_id
ridesharing	UberX	21	11.0	355030815000030355030871000083	2020-08-02 02:43:08	sp	./volume_sp/images/app/uber_v0_8369c0d9_11.0_355030815000030355030871000083_2020-08-02_02-43_1596346988.png
ridesharing	UberComfort	21	11.0	355030815000030355030871000083	2020-08-02 02:43:08	sp	./volume_sp/images/app/uber_v0_8369c0d9_11.0_355030815000030355030871000083_2020-08-02_02-43_1596346988.png
ridesharing	UberBlack	21	11.0	355030815000030355030871000083	2020-08-02 02:43:08	sp	./volume_sp/images/app/uber_v0_8369c0d9_11.0_355030815000030355030871000083_2020-08-02_02-43_1596346988.png
ridesharing	99Pop	23	10.5	355030815000030355030871000063	2020-08-02 05:17:28	sp	./volume_sp/images/app/app_v0_236d8c96_10.5_355030815000030355030871000063_2020-08-02_05-17_1596356248.png
ridesharing	99Comfort	23	10.5	355030815000030355030871000063	2020-08-02 05:17:28	sp	./volume_sp/images/app/app_v0_236d8c96_10.5_355030815000030355030871000063_2020-08-02_05-17_1596356248.png
ridesharing	99Pop	25	11.5	355030838000198355030871000009	2020-08-02 10:17:28	sp	./volume_sp/images/app/app_v0_236d8c96_11.5_355030838000198355030871000009_2020-08-02_10-17_1596374248.png
ridesharing	99Pop	28	11.5	355030838000198355030871000073	2020-08-02 02:19:50	sp	./volume_sp/images/app/app_v0_236d8c96_11.5_355030838000198355030871000073_2020-08-02_02-19_1596345590.png
ridesharing	99Comfort	28	11.5	355030838000198355030871000073	2020-08-02 02:19:50	sp	./volume_sp/images/app/app_v0_236d8c96_11.5_355030838000198355030871000073_2020-08-02_02-19_1596345590.png
ridesharing	99Pop	27	13.0	355030838000198355030871000016	2020-08-02 11:24:16	sp	./volume_sp/images/app/app_v0_236d8c96_13.0_355030838000198355030871000016_2020-08-02_11-24_1596378256.png
ridesharing	99Pop	31	13.5	355030838000198355030871000087	2020-08-02 02:26:38	sp	./volume_sp/images/app/app_v0_236d8c96_13.5_355030838000198355030871000087_2020-08-02_02-26_1596345998.png
