modal	service	distance	km_category	route_id	capture_time	city	image_id
walk	walk	7300	9.0	355030838000198355030815000094	2020-08-02 04:29:47	sp	./volume_sp/images/modal/walk_v0_8369c0d9_9.0_355030838000198355030815000094_2020-08-02_04-29_1596353387.png
walk	walk	7300	9.0	355030838000198355030815000094	2020-08-02 05:29:46	sp	./volume_sp/images/modal/walk_v0_8369c0d9_9.0_355030838000198355030815000094_2020-08-02_05-29_1596356986.png
walk	walk	7300	9.0	355030838000198355030815000094	2020-08-02 06:29:47	sp	./volume_sp/images/modal/walk_v0_8369c0d9_9.0_355030838000198355030815000094_2020-08-02_06-29_1596360587.png
walk	walk	7300	9.0	355030838000198355030815000094	2020-08-02 07:29:46	sp	./volume_sp/images/modal/walk_v0_8369c0d9_9.0_355030838000198355030815000094_2020-08-02_07-29_1596364186.png
walk	walk	7300	9.0	355030838000198355030815000094	2020-08-02 08:29:47	sp	./volume_sp/images/modal/walk_v0_8369c0d9_9.0_355030838000198355030815000094_2020-08-02_08-29_1596367787.png
walk	walk	6800	9.5	355030838000198355030815000072	2020-08-02 09:57:37	sp	./volume_sp/images/modal/walk_v0_8369c0d9_9.5_355030838000198355030815000072_2020-08-02_09-57_1596373057.png
walk	walk	6800	9.5	355030838000198355030815000072	2020-08-02 11:43:23	sp	./volume_sp/images/modal/walk_v0_8369c0d9_9.5_355030838000198355030815000072_2020-08-02_11-43_1596379403.png
walk	walk	1600	1.5	355030871000079355030871000123	2020-08-02 09:16:49	sp	./volume_sp/images/modal/walk_v0_836cc001_1.5_355030871000079355030871000123_2020-08-02_09-16_1596370609.png
mocycle	mocycle	19000	14.0	355030838000198355030871000089	2020-08-02 07:36:13	sp	./volume_sp/images/modal/mocycle_v0_836cc001_14.0_355030838000198355030871000089_2020-08-02_07-36_1596364573.png
mocycle	mocycle	19000	14.0	355030838000198355030871000089	2020-08-02 08:36:13	sp	./volume_sp/images/modal/mocycle_v0_836cc001_14.0_355030838000198355030871000089_2020-08-02_08-36_1596368173.png
mocycle	mocycle	19000	14.0	355030838000198355030871000089	2020-08-02 09:50:27	sp	./volume_sp/images/modal/mocycle_v0_836cc001_14.0_355030838000198355030871000089_2020-08-02_09-50_1596372627.png
mocycle	mocycle	19000	14.0	355030838000198355030871000089	2020-08-02 11:36:12	sp	./volume_sp/images/modal/mocycle_v0_836cc001_14.0_355030838000198355030871000089_2020-08-02_11-36_1596378972.png
mocycle	mocycle	19000	14.0	355030838000198355030871000089	2020-08-02 12:40:11	sp	./volume_sp/images/modal/mocycle_v0_836cc001_14.0_355030838000198355030871000089_2020-08-02_12-40_1596382811.png
mocycle	mocycle	19000	14.0	355030838000198355030871000089	2020-08-02 14:19:43	sp	./volume_sp/images/modal/mocycle_v0_836cc001_14.0_355030838000198355030871000089_2020-08-02_14-19_1596388783.png
