	modal	service	distance	km_category	route_id	capture_time	city	image_id
617	bus	bus	0	4.5	355030815000030355030815000078	2020-08-02 05:29:19	sp	./volume_sp/images/modal/bus_v0_RX2MB00HYRF_4.5_355030815000030355030815000078_2020-08-02_05-29_1596356959.png
618	bus	bus	0	4.5	355030815000030355030815000078	2020-08-02 07:29:19	sp	./volume_sp/images/modal/bus_v0_RX2MB00HYRF_4.5_355030815000030355030815000078_2020-08-02_07-29_1596364159.png
619	bus	bus	0	4.5	355030838000198355030815000080	2020-08-02 09:43:33	sp	./volume_sp/images/modal/bus_v0_RX2MB00HYRF_4.5_355030838000198355030815000080_2020-08-02_09-43_1596372213.png
620	car	car	4800	5.0	355030871000079355030871000063	2020-08-02 12:19:36	sp	./volume_sp/images/modal/car_v0_d1568d9c_5.0_355030871000079355030871000063_2020-08-02_12-19_1596381576.png
621	car	car	4800	5.0	355030871000079355030871000063	2020-08-02 13:15:37	sp	./volume_sp/images/modal/car_v0_d1568d9c_5.0_355030871000079355030871000063_2020-08-02_13-15_1596384937.png
622	car	car	6300	6.5	355030815000030355030838000122	2020-08-02 09:29:52	sp	./volume_sp/images/modal/car_v0_d1568d9c_6.5_355030815000030355030838000122_2020-08-02_09-29_1596371392.png
623	car	car	6300	6.5	355030815000030355030838000122	2020-08-02 11:15:37	sp	./volume_sp/images/modal/car_v0_d1568d9c_6.5_355030815000030355030838000122_2020-08-02_11-15_1596377737.png
624	car	car	6000	6.5	355030871000079355030815000095	2020-08-02 02:24:47	sp	./volume_sp/images/modal/car_v0_d1568d9c_6.5_355030871000079355030815000095_2020-08-02_02-24_1596345887.png
625	car	car	6000	6.5	355030871000079355030815000095	2020-08-02 03:29:13	sp	./volume_sp/images/modal/car_v0_d1568d9c_6.5_355030871000079355030815000095_2020-08-02_03-29_1596349753.png
626	walk	walk	9500	11.5	355030838000198355030871000073	2020-08-02 05:22:59	sp	./volume_sp/images/modal/walk_v0_236d8c96_11.5_355030838000198355030871000073_2020-08-02_05-22_1596356579.png
627	walk	walk	9500	11.5	355030838000198355030871000073	2020-08-02 06:22:58	sp	./volume_sp/images/modal/walk_v0_236d8c96_11.5_355030838000198355030871000073_2020-08-02_06-22_1596360178.png
628	walk	walk	9500	11.5	355030838000198355030871000073	2020-08-02 07:22:59	sp	./volume_sp/images/modal/walk_v0_236d8c96_11.5_355030838000198355030871000073_2020-08-02_07-22_1596363779.png
629	walk	walk	9500	11.5	355030838000198355030871000073	2020-08-02 08:22:59	sp	./volume_sp/images/modal/walk_v0_236d8c96_11.5_355030838000198355030871000073_2020-08-02_08-22_1596367379.png
630	walk	walk	9200	11.5	355030838000198355030871000122	2020-08-02 14:06:29	sp	./volume_sp/images/modal/walk_v0_236d8c96_11.5_355030838000198355030871000122_2020-08-02_14-06_1596387989.png
631	walk	walk	9700	13.0	355030838000198355030871000016	2020-08-02 09:37:13	sp	./volume_sp/images/modal/walk_v0_236d8c96_13.0_355030838000198355030871000016_2020-08-02_09-37_1596371833.png
632	walk	walk	9700	13.0	355030838000198355030871000016	2020-08-02 10:22:59	sp	./volume_sp/images/modal/walk_v0_236d8c96_13.0_355030838000198355030871000016_2020-08-02_10-22_1596374579.png
633	walk	walk	9700	13.0	355030838000198355030871000016	2020-08-02 11:22:59	sp	./volume_sp/images/modal/walk_v0_236d8c96_13.0_355030838000198355030871000016_2020-08-02_11-22_1596378179.png
634	bicycle	bicycle	7900	8.0	355030815000030355030871000057	2020-08-02 07:29:58	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_8.0_355030815000030355030871000057_2020-08-02_07-29_1596364198.png
