SECTOR_CENTROID	SECTOR_ID	CITY
[-46.63720795580348, -23.658479987426123]	355030838000155	JABAQUARA
[-46.63478640905073, -23.631850526328414]	355030838000243	JABAQUARA
[-46.645542423460924, -23.634123314289553]	355030838000183	JABAQUARA
[-46.636620202245005, -23.661904139852535]	355030838000204	JABAQUARA
[-46.6462316808442, -23.641920713889345]	355030838000287	JABAQUARA
[-46.65847233190926, -23.653233865524662]	355030838000283	JABAQUARA
[-46.67014801208377, -23.6471880178212]	355030838000217	JABAQUARA
[-46.65700215702582, -23.646565056327308]	355030838000286	JABAQUARA
[-46.65889661170439, -23.647250156117728]	355030838000076	JABAQUARA
[-46.663876107676444, -23.65018237284227]	355030838000176	JABAQUARA
[-46.63529018240805, -23.65865723116331]	355030838000201	JABAQUARA
[-46.6536676043258, -23.661362526632857]	355030838000064	JABAQUARA
[-46.662956492682106, -23.646114529001217]	355030838000309	JABAQUARA
[-46.64530791120829, -23.663619267514324]	355030838000109	JABAQUARA
[-46.65427042365044, -23.65882796343509]	355030838000036	JABAQUARA
[-46.64152960653533, -23.659163255874528]	355030838000102	JABAQUARA
[-46.63481613581366, -23.630823136668003]	355030838000244	JABAQUARA
[-46.636515061273286, -23.635317716279637]	355030838000190	JABAQUARA
[-46.64332051457069, -23.632791442189518]	355030838000233	JABAQUARA
[-46.63411849522459, -23.6378655406639]	355030838000193	JABAQUARA
[-46.63652867057435, -23.637793204389595]	355030838000192	JABAQUARA
[-46.63126283250216, -23.634400991458293]	355030838000247	JABAQUARA
[-46.64395546723709, -23.63441869999463]	355030838000184	JABAQUARA
[-46.63421309091918, -23.63539185676839]	355030838000249	JABAQUARA
[-46.660337906859354, -23.651474544728845]	355030838000074	JABAQUARA
[-46.66082535028417, -23.643736252966047]	355030838000180	JABAQUARA
[-46.64688968352263, -23.658214991357273]	355030838000010	JABAQUARA
[-46.637487700674676, -23.656755357260497]	355030838000154	JABAQUARA
[-46.64909822480741, -23.65436424363969]	355030838000001	JABAQUARA
[-46.65881370248448, -23.657913416814313]	355030838000069	JABAQUARA
[-46.653799920067335, -23.65502514666266]	355030838000015	JABAQUARA
[-46.638713432057536, -23.636481171465725]	355030838000140	JABAQUARA
[-46.64008908222883, -23.660675883408366]	355030838000103	JABAQUARA
[-46.64117712584881, -23.67074286524647]	355030838000270	JABAQUARA
[-46.65688853795635, -23.648395030370057]	355030838000041	JABAQUARA
[-46.65299124819258, -23.65284456193203]	355030838000004	JABAQUARA
[-46.64962043171532, -23.640670748114687]	355030838000133	JABAQUARA
[-46.64259954372541, -23.662203921529862]	355030838000105	JABAQUARA
[-46.64811151463039, -23.63690813476848]	355030838000136	JABAQUARA
[-46.65227704033907, -23.653920704445355]	355030838000003	JABAQUARA
[-46.63373836181557, -23.659615208225183]	355030838000352	JABAQUARA
[-46.636382038478374, -23.66300615070527]	355030838000303	JABAQUARA
[-46.64979992258869, -23.66159118666695]	355030838000032	JABAQUARA
[-46.638960680926125, -23.668700842271832]	355030838000211	JABAQUARA
[-46.6457043342792, -23.662286650159587]	355030838000055	JABAQUARA
[-46.6680233663218, -23.651009468640908]	355030838000215	JABAQUARA
[-46.66535795818863, -23.645402207232888]	355030838000225	JABAQUARA
[-46.64777819598095, -23.663576539673553]	355030838000056	JABAQUARA
[-46.64912558695921, -23.646509081705695]	355030838000046	JABAQUARA
[-46.64051155106066, -23.657924501410815]	355030838000101	JABAQUARA
[-46.65079814467338, -23.665882206518564]	355030838000301	JABAQUARA
[-46.64803639592267, -23.666031006478285]	355030838000170	JABAQUARA
[-46.66385061166229, -23.657084840368046]	355030838000116	JABAQUARA
[-46.66098995155991, -23.654188138356993]	355030838000072	JABAQUARA
[-46.63843184645011, -23.662503623162728]	355030838000157	JABAQUARA
[-46.65082354870112, -23.64828131235693]	355030838000022	JABAQUARA
[-46.65398030289921, -23.662958131433033]	355030838000285	JABAQUARA
[-46.66474564357777, -23.655405645131058]	355030838000172	JABAQUARA
[-46.65533271584517, -23.642939534066883]	355030838000130	JABAQUARA
[-46.652652330746676, -23.64366716842051]	355030838000346	JABAQUARA
[-46.65889224597648, -23.65598447229423]	355030838000071	JABAQUARA
[-46.64055482146699, -23.656176350206938]	355030838000099	JABAQUARA
[-46.6567239409621, -23.65241889878314]	355030838000039	JABAQUARA
[-46.638967968654455, -23.638614003580734]	355030838000141	JABAQUARA
[-46.63411348633829, -23.64163255035917]	355030838000254	JABAQUARA
[-46.64877370472183, -23.632363109669264]	355030838000231	JABAQUARA
[-46.6501692745437, -23.64178855391167]	355030838000132	JABAQUARA
[-46.66533165865403, -23.65113524622149]	355030838000175	JABAQUARA
